"Переходник ""Bestway"" форсунка 32мм - шланг 38мм (1шт, НЕ комплект)";;;01.01.2021
"Переходник ""Intex"" форсунка 32мм - шланг 38мм";;;01.01.2021
Плунжерный клапан;;;01.01.2021
Прокладка уплотнительная для плунжерных клапанов и переходников Intex;;;01.01.2021
Уплотнительное кольцо для адаптера 32мм;;;01.01.2021
Уплотнительное кольцо для плунжерного клапана (переход на 38 шланг);;;01.01.2021
Форсунка водосборная 32 мм;;;01.01.2021
Форсунка подающая 32 мм;;;01.01.2021
Хомуты, крепления, держатели;;;01.01.2021
Опорный кронштейн (держатель) для шланга.;;;01.01.2021
Хомут для крепления шланга пластиковый ;;;01.01.2021
Хомут металлический для крепления шланга;;;01.01.2021
Шланги;7;2 240;01.01.2021
Переходники, соединители, наконечники для шлангов;;;01.01.2021
Наконечник FITT EVAPOOI для пылесосного шланга 38 мм;;;01.01.2021
Наконечник Kokido K398PBH для пылесосного шланга 38 мм;;;01.01.2021
Соединение для шланга 1-1/2 (с уплот.рез.);;;01.01.2021
Соединитель для шлангов 38/38 резьбовой;;;01.01.2021
Фитинг Kokido K546BU20 соединительный для 38/32мм;;;01.01.2021
Шланги запасные для фильтров;;;01.01.2021
"Запасной шланг  ""Bestway"" с накидным кольцом D38мм 3м в картонной коробке";;;01.01.2021
"Запасной шланг ""Bestway"" D32см 3м в картонной коробке";;;01.01.2021
Запасной шланг 32мм (3м);;;01.01.2021
"Запасной шланг D32мм ""Intex""1,5м";;;01.01.2021
Запасной шланг INTEX с накидными гайками D38мм 25см (для 4кубового фильтра);;;01.01.2021
Запасной шланг INTEX с накидными гайками для бассейна D38мм 1,5м;;;01.01.2021
Запасной шланг INTEX с накидными гайками для бассейна D38мм 3м;;;01.01.2021
Запасной шланг INTEX с накидными гайками для бассейна D38мм 4,5м;;;01.01.2021
Запасной шланг INTEX с накидными гайками для бассейна D38мм 40см;;;01.01.2021
Запасной шланг для бассейна PH+pool  D32мм, 150см;;;01.01.2021
Запасной шланг для бассейна PH+pool  D32мм, м;;;01.01.2021
Шланги отрезные на метраж;7;2 240;01.01.2021
Шланг D32мм синий ;;;01.01.2021
Шланг D32мм синий (перемычка - 1 м);;;01.01.2021
Шланг D40мм синий (перемычка - 1 м);;;01.01.2021
Шланг FITT EVAPOOL (стенка EVA арм. спиралью PE) для очистки бассейнов (t-10С+50С) 38mm метр;7;2 240;01.01.2021
Шланг ПВХ напорно-всасывающий д. 32 мм;;;01.01.2021
Шланг ПВХ напорно-всасывающий д. 38 мм;;;01.01.2021
Шланг ПВХ промышленный Vacuflex 32мм;;;01.01.2021
Шланги пылесосные;;;01.01.2021
Шланг для пылесоса INTEX 38 мм, 7,5м;;;01.01.2021
Шланг для пылесоса Kokido K364SW 38 мм, 9м;;;01.01.2021
Шланг для пылесоса Kokido K366SW 38 мм, 12м;;;01.01.2021
Шланг для пылесоса Pool King 9м d.38мм;;;01.01.2021
Шланг пылесосный FITT EVAPOOL 38mm 9м;;;01.01.2021
Штанги;;;01.01.2021
Телескопическая алюминиевая рукоятка 239 см;;;01.01.2021
Телескопическая алюминиевая рукоятка Intex 279 см;;;01.01.2021
Штанга CE134 Telescopic 350-700см ;;;01.01.2021
Штанга Kokido Classic K269BU/B 180-360 см;;;01.01.2021
Штанга алюминевая телескопическая E-Z-Broom 3,6м d=31мм Bestwey;;;01.01.2021
Штанга телескопическая ASTRAL для водного пылесоса 1,8-3,6м;;;01.01.2021
Штанга телескопическая Pool King 1,8-3,8м ;;;01.01.2021
Штанга телескопическая Pool King 2,4-4,8м ;;;01.01.2021
Щетки, скребки;5;4 380;01.01.2021
Запчасти для щеток;;;01.01.2021
